area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_num,price_inr,price_per_sqft,is_ready
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2,1330.74,9179000.0,6897.665960292769,0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2,970.0,3300000.0,3402.061855670103,1
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2,1459.0,9482000.0,6498.971898560658,0
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,2,800.0,13000000.0,16250.0,1
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,2,869.0,3600000.0,4142.692750287687,1
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2,1270.0,5000000.0,3937.0078740157483,1
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,3,1670.0,9900000.0,5928.143712574851,0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3,2010.0,9100000.0,4527.363184079602,1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,2,1185.0,7500000.0,6329.113924050633,1
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3,1600.0,7500000.0,4687.5,1
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2,1200.0,4400000.0,3666.6666666666665,1
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,4.0,2.0,192.0,4,3210.0,19200000.0,5981.308411214954,0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2,1500.0,18500000.0,12333.333333333334,1
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,6,1407.0,15000000.0,10660.980810234541,1
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0,2,840.0,4500000.0,5357.142857142857,1
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0,3,4395.0,24000000.0,5460.750853242321,1
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2,845.0,5500000.0,6508.87573964497,1
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4,5700.0,65000000.0,11403.508771929824,1
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2,1160.0,4400000.0,3793.103448275862,1
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0,8,3000.0,14000000.0,4666.666666666667,1
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0,2,1100.0,6200000.0,5636.363636363636,1
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2,1140.0,4300000.0,3771.9298245614036,0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0,2,1220.0,5700000.0,4672.131147540984,1
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68,2,1005.0,3668000.0,3649.7512437810947,1
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2,1358.0,8058000.0,5933.726067746687,0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3,1569.0,10100000.0,6437.221159974506,1
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2,1240.0,7000000.0,5645.1612903225805,0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3,2089.0,14000000.0,6701.771182383915,1
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2.0,1.0,48.23,2,1206.0,4823000.0,3999.1708126036483,1
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0,2,1150.0,4000000.0,3478.2608695652175,1
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3,2511.0,20500000.0,8164.078056551175,1
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0,2,460.0,2200000.0,4782.608695652174,1
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0,6,4400.0,25000000.0,5681.818181818182,1
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,3,1660.0,10500000.0,6325.301204819277,1
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,4.0,2.0,224.5,4,3203.5,22450000.0,7007.960043702201,0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2,1326.0,7800000.0,5882.35294117647,0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8,3,1325.0,6080000.0,4588.679245283019,1
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3,1499.0,10200000.0,6804.536357571715,1
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0,6,3000.0,21000000.0,7000.0,1
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0,3,1665.0,8800000.0,5285.285285285286,1
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2,708.0,3700000.0,5225.988700564972,0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2,1060.0,5806000.0,5477.358490566037,1
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2,1000.0,7000000.0,7000.0,1
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88,2,1000.0,2888000.0,2888.0,0
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450,2.0,2.0,70.0,3,1450.0,7000000.0,4827.586206896552,1
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0,4,1200.0,15500000.0,12916.666666666666,1
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2,1296.0,8000000.0,6172.83950617284,0
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0,3,1540.0,9000000.0,5844.1558441558445,1
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4,2894.0,24500000.0,8465.791292328957,1
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,48.0,3,1330.0,4800000.0,3609.0225563909776,1
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2.0,1.0,65.0,2,1200.0,6500000.0,5416.666666666667,1
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3.0,1.0,90.0,3,1200.0,9000000.0,7500.0,1
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,3,2502.0,13800000.0,5515.587529976019,1
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,2,650.0,1700000.0,2615.3846153846152,1
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,3,2400.0,15000000.0,6250.0,1
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,2,1007.0,4300000.0,4270.109235352532,1
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,2,1200.0,5000000.0,4166.666666666667,1
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,2.0,49.9,2,966.0,4990000.0,5165.631469979296,1
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2.0,1.0,98.0,3,1630.0,9800000.0,6012.269938650306,1
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,3,1640.0,22900000.0,13963.414634146342,1
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,2.0,55.68,2,782.0,5568000.0,7120.204603580562,1
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,2,1260.0,6678000.0,5300.0,0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3.0,3.0,120.0,3,1800.0,12000000.0,6666.666666666667,1
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,3,1413.0,7500000.0,5307.855626326964,1
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,2,1116.0,5191000.0,4651.433691756272,1
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,3,1530.0,4590000.0,3000.0,1
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4.0,1.0,225.0,4,3700.0,22500000.0,6081.081081081081,1
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,3,2497.0,14000000.0,5606.728073688426,1
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,3,1540.0,6400000.0,4155.8441558441555,1
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3.0,1.0,74.75,3,1436.0,7475000.0,5205.431754874652,0
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2.0,2.0,75.0,2,1100.0,7500000.0,6818.181818181818,0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,3,1427.0,12000000.0,8409.250175192712,1
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,3,2061.0,20000000.0,9704.02717127608,1
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,4,5611.5,47700000.0,8500.400962309543,0
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4.0,2.0,150.0,4,2650.0,15000000.0,5660.377358490566,1
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,3,1282.0,6852000.0,5344.773790951638,0
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2.0,1.0,34.0,2,1050.0,3400000.0,3238.095238095238,1
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,3,1600.0,6500000.0,4062.5,1
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2.0,1.0,54.0,2,945.0,5400000.0,5714.285714285715,0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,2,1500.0,7800000.0,5200.0,1
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,3,1870.0,11000000.0,5882.35294117647,1
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,3,1600.0,7500000.0,4687.5,1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,2,880.0,1650000.0,1875.0,1
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0,4,1200.0,21000000.0,17500.0,1
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,3,1535.0,8300000.0,5407.166123778502,1
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,2,950.0,5700000.0,6000.0,1
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,2,1360.0,6500000.0,4779.411764705882,0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,2,1073.5,5400500.0,5030.740568234746,0
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3.0,1.0,50.4,3,1280.0,5040000.0,3937.5,0
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,3,1260.0,8505000.0,6750.0,0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8.0,2.0,250.0,8,5000.0,25000000.0,5000.0,1
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,5,3050.0,21300000.0,6983.606557377049,0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3,1563.05,10500000.0,6717.635392341896,1
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2.0,1.0,60.0,2,1000.0,6000000.0,6000.0,1
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,2,1167.0,4376000.0,3749.7857754927163,0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0,7,4000.0,22500000.0,5625.0,1
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,2.0,110.0,3,1828.0,11000000.0,6017.505470459519,1
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,2,890.0,3500000.0,3932.5842696629215,1
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,3,1612.0,4674000.0,2899.5037220843674,1
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,3,1710.0,9131000.0,5339.766081871345,0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,2,957.0,5800000.0,6060.606060606061,1
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,,1250,2.0,3.0,44.0,3,1250.0,4400000.0,3520.0,0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,2.0,235.0,3,2795.0,23500000.0,8407.871198568873,1
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,2,1125.0,5000000.0,4444.444444444444,1
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,2,1020.0,3060000.0,3000.0,0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2.0,2.0,50.0,2,1200.0,5000000.0,4166.666666666667,1
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,3,1735.0,13500000.0,7780.979827089337,1
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,3,2050.0,14500000.0,7073.170731707317,1
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,0.0,760.0,4,3750.0,76000000.0,20266.666666666668,1
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0,3,1350.0,4800000.0,3555.5555555555557,1
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,2,1063.0,3200000.0,3010.348071495767,0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,3,1904.0,15000000.0,7878.151260504202,1
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4.0,2.0,420.0,4,4200.0,42000000.0,10000.0,1
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,3,2000.0,17500000.0,8750.0,1
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,2,1242.5,4349000.0,3500.201207243461,0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,3,1425.0,7500000.0,5263.1578947368425,1
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,3,1500.0,6450000.0,4300.0,1
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,2,1060.0,6000000.0,5660.377358490566,1
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,3,1470.0,7000000.0,4761.9047619047615,1
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6.0,0.0,99.0,6,1300.0,9900000.0,7615.384615384615,1
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,1,450.0,1100000.0,2444.4444444444443,1
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,2,1152.0,6450000.0,5598.958333333333,0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,3,1350.0,5600000.0,4148.148148148148,1
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,3,1550.0,6500000.0,4193.548387096775,1
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3.0,2.0,100.0,3,1500.0,10000000.0,6666.666666666667,1
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1.0,0.0,14.0,1,400.0,1400000.0,3500.0,1
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,1,705.0,6700000.0,9503.54609929078,1
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,2,770.0,3600000.0,4675.324675324675,1
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,2,1242.0,5100000.0,4106.280193236715,1
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,3,1700.0,15500000.0,9117.64705882353,1
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,3,2144.0,14500000.0,6763.059701492537,1
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,3,1704.0,11000000.0,6455.399061032864,0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,2,1070.0,5200000.0,4859.813084112149,1
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3.0,2.0,300.0,3,1846.0,30000000.0,16251.354279523293,1
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7,2,1340.0,5570000.0,4156.7164179104475,1
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,2,1025.0,4600000.0,4487.804878048781,1
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,2,1277.5,5680000.0,4446.183953033268,1
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,2,1200.0,5200000.0,4333.333333333333,1
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4.0,1.0,110.0,4,2250.0,11000000.0,4888.888888888889,0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,3,1550.0,8000000.0,5161.290322580645,1
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,2.0,325.0,4,1200.0,32500000.0,27083.333333333332,1
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7.0,1.0,250.0,7,1800.0,25000000.0,13888.888888888889,1
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,2,1200.0,6000000.0,5000.0,1
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,2,1327.0,9800000.0,7385.079125847777,1
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2.0,2.0,58.0,2,1186.0,5800000.0,4890.387858347386,1
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3.0,1.0,115.0,3,1783.0,11500000.0,6449.8037016264725,1
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,3,1400.0,5600000.0,4000.0,1
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2.0,1.0,48.0,2,980.0,4800000.0,4897.959183673469,1
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2.0,2.0,82.0,2,1285.0,8200000.0,6381.322957198444,1
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2.0,1.0,70.0,3,912.0,7000000.0,7675.438596491228,1
